priority_rank,school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,size_band,severity_score,trend_decline_score,recoverability_score,priority_score,priority_category,gpa_slope,pass_rate_slope,similar_school_count,evidence_years,first_year,data_quality
5488,S5878,SISTERS OF MARY SECONDARY SCHOOL,PWANI,2025,2.023,100.0,158.0,Very Large,12.787500000000001,0.0,100.0,26.39375,Low,-0.15069000000000302,4.256661309384458e-15,856,4,2022,Complete
5489,S3311,KYUU SECONDARY SCHOOL,KILIMANJARO,2025,2.8023,100.0,33.0,Small,22.52875,0.0,75.64102564102569,26.39258012820514,Low,-0.29532000000001796,0.3225806451613674,965,10,2016,Complete
5490,S6270,SAN GIOVANNI PAOLO SECONDO SECONDARY SCHOOL,IRINGA,2025,2.2163,100.0,47.0,Medium,15.20375,0.0,93.91258318209317,26.384391636418634,Low,-1.0016999999995497,1.3076279587826524e-15,862,2,2024,Limited trend history
5491,S5057,JUBA ISLAMIC SECONDARY SCHOOL,MJINI MAGHARIBI,2025,2.7992,100.0,19.0,Small,22.49,0.0,75.64102564102569,26.373205128205136,Low,-0.13117000000001092,4.256661309384458e-15,965,9,2017,Complete
5492,S6378,GREEN STAR SECONDARY SCHOOL,SHINYANGA,2025,2.2137,100.0,51.0,Medium,15.171249999999997,0.0,93.91258318209317,26.368141636418635,Low,-0.005599999999997408,1.3076279587826524e-15,862,2,2024,Limited trend history
5493,S0246,MAASAE GIRLS' LUTHERAN SECONDARY SCHOOL,ARUSHA,2025,2.2136,100.0,71.0,Medium,15.17,0.0,93.91258318209317,26.367516636418635,Low,-0.19903000000001295,4.256661309384458e-15,862,10,2016,Complete
5494,S5407,MKUZO ISLAMIC SECONDARY SCHOOL,RUVUMA,2025,2.7978,100.0,35.0,Small,22.4725,0.0,75.64102564102569,26.364455128205137,Low,-0.0844800000000031,0.2937576499387999,965,10,2016,Complete
5495,S3914,ALFAGEMS SECONDARY SCHOOL,MOROGORO,2025,1.8993,98.94179894179894,189.0,Very Large,11.770350529100531,1.587301587301721,100.0,26.36136574074078,Low,-0.06299000000000629,-0.3174603174603442,856,10,2016,Complete
5496,S2818,SILALODA SECONDARY SCHOOL,MANYARA,2025,2.797,100.0,35.0,Small,22.462500000000002,0.0,75.64102564102569,26.35945512820514,Low,-0.37595000000001116,2.033613445378417,965,10,2016,Complete
5497,S5292,TCRC FURAHA SECONDARY SCHOOL,MWANZA,2025,2.7955,100.0,22.0,Small,22.44375,0.0,75.64102564102569,26.35008012820514,Low,-0.046640000000005656,4.256661309384458e-15,965,10,2016,Complete
5498,S3535,DEBRABANT SECONDARY SCHOOL,DAR ES SALAAM,2025,2.7949,100.0,31.0,Small,22.43625,0.0,75.64102564102569,26.34633012820514,Low,-0.015080000000013206,4.256661309384458e-15,965,10,2016,Complete
5499,S1357,AHLULBAYT ISLAMIC SEMINARY,KIGOMA,2025,2.722,100.0,19.0,Small,21.525,1.495999999999414,75.64102564102569,26.339505128204962,Low,0.00747999999999707,4.256661309384458e-15,965,10,2016,Complete
5500,S0191,ST. MATHIAS MULUMBA SECONDARY SCHOOL,KIGOMA,2025,2.0118,100.0,89.0,Large,12.6475,0.0,100.0,26.32375,Low,-0.05082000000000065,4.256661309384458e-15,862,10,2016,Complete
5501,S5603,ALPHA ADVENTIST SECONDARY SCHOOL,GEITA,2025,2.2051,100.0,52.0,Medium,15.063749999999999,0.0,93.91258318209317,26.314391636418634,Low,-0.055769999999996364,4.256661309384458e-15,862,6,2020,Complete
5502,S0729,MSOLWA ST. GASPARE BERTONI SECONDARY SCHOOL,MOROGORO,2025,1.7772,100.0,97.0,Large,9.714999999999998,4.8419999999998815,100.0,26.310099999999963,Low,0.024209999999999406,4.256661309384458e-15,862,10,2016,Complete
5503,S4208,ELONI SECONDARY SCHOOL,MANYARA,2025,2.2041,100.0,46.0,Medium,15.05125,0.0,93.91258318209317,26.308141636418632,Low,-0.0638400000000152,4.256661309384458e-15,862,10,2016,Complete
5504,S3822,MOTHER TERESA OF CALCUTA GIRLS' SECONDARY SCHOOL,KILIMANJARO,2025,2.1967,100.0,63.0,Medium,14.958749999999998,0.0,93.91258318209317,26.261891636418632,Low,-0.13924000000000877,4.256661309384458e-15,862,10,2016,Complete
5505,S5268,HOLY FAMILY GIRLS' SECONDARY SCHOOL,MWANZA,2025,1.555,100.0,148.0,Very Large,6.937499999999999,9.278000000000574,100.0,26.25215000000017,Low,0.04639000000000287,4.256661309384458e-15,856,10,2016,Complete
5506,S5325,IMPERIAL SECONDARY SCHOOL,PWANI,2025,1.9679,100.0,32.0,Small,12.098749999999999,16.774000000002225,75.64102564102569,26.209780128205807,Low,0.08387000000001113,2.307692307692258,965,8,2018,Complete
5507,S3169,KATUMBASONGWE SECONDARY SCHOOL,MBEYA,2025,2.7727,100.0,35.0,Small,22.158749999999998,0.0,75.64102564102569,26.207580128205137,Low,-0.4299100000000128,5.764097744360809,965,10,2016,Complete
5508,S0355,LOMWE SECONDARY SCHOOL,KILIMANJARO,2025,2.7711,100.0,37.0,Small,22.13875,0.0,75.64102564102569,26.19758012820514,Low,-0.12815000000001067,4.256661309384458e-15,965,10,2016,Complete
5509,S1395,TAIFA FOUNDATION SECONDARY SCHOOL,RUVUMA,2025,2.5555,100.0,19.0,Small,19.443749999999998,4.4879999999997136,75.64102564102569,26.196480128205053,Low,0.02243999999999857,4.256661309384458e-15,965,10,2016,Complete
5510,S0348,TUMAINI SECONDARY SCHOOL,SINGIDA,2025,1.9911,100.0,91.0,Large,12.388750000000002,0.0,100.0,26.194375,Low,-0.09822000000000915,4.256661309384458e-15,862,10,2016,Complete
5511,S6111,UTALINGOLO SECONDARY SCHOOL,NJOMBE,2025,1.9908,100.0,116.0,Large,12.384999999999998,0.0,100.0,26.1925,Low,-0.36749999999983457,1.3076279587826524e-15,862,2,2024,Limited trend history
5512,S5896,LUCAS MALIA SECONDARY SCHOOL,LINDI,2025,2.1855,100.0,69.0,Medium,14.818750000000003,0.0,93.91258318209317,26.191891636418635,Low,-0.16159999999995894,1.7530813908894377e-15,862,3,2023,Limited trend history
5513,S5762,IBN HAMBAL ISLAMIC SECONDARY SCHOOL,KAGERA,2025,2.53,100.0,37.0,Small,19.124999999999996,4.967999999999781,75.64102564102569,26.18110512820507,Low,0.024839999999998905,4.256661309384458e-15,965,7,2019,Complete
5514,S0209,KOROGWE GIRLS' SECONDARY SCHOOL,TANGA,2025,1.9875,100.0,102.0,Large,12.34375,0.0,100.0,26.171875,Low,-0.15918999999999656,4.256661309384458e-15,862,10,2016,Complete
5515,S6313,ST. BERNADETA SECONDARY SCHOOL,MWANZA,2025,2.7667,100.0,40.0,Small,22.083750000000002,0.0,75.64102564102569,26.17008012820514,Low,-0.13478000000000043,3.333333333333258,965,4,2022,Complete
5516,S5538,SUMAGHA SECONDARY SCHOOL,SONGWE,2025,1.9835,100.0,74.0,Large,12.293750000000001,0.0,100.0,26.146875,Low,-0.10411000000000409,4.256661309384458e-15,862,7,2019,Complete
5517,S2980,IKUNGULIPU SECONDARY SCHOOL,SIMIYU,2025,2.7591,100.0,39.0,Small,21.988750000000003,0.0,75.64102564102569,26.12258012820514,Low,-0.32674000000000974,4.025442980463509,965,10,2016,Complete
5518,S1757,BENDEL MEMORIAL SECONDARY SCHOOL,KILIMANJARO,2025,1.9763,100.0,90.0,Large,12.20375,0.0,100.0,26.101875,Low,-0.07039000000000263,4.256661309384458e-15,862,10,2016,Complete
