school_id,school_name,region,latest_year,latest_gpa,latest_pass_rate,latest_sat,pass_rate_decline_score,subject_failure_score,trend_instability_score,risk_score,risk_level,pass_rate_slope,subject_failure_rate,subject_count,evidence_years,data_quality
S3632,KWALA SECONDARY SCHOOL,PWANI,2025,3.9931,87.62886597938144,97.0,0.0,42.21105527638191,38.62911425323089,24.25205085888384,Safe,4.084973694088463,42.21105527638191,10,10,Complete
S2329,NACHUNYU SECONDARY SCHOOL,MTWARA,2025,3.7917,97.77777777777777,90.0,0.0,32.22506393861893,48.61007168408314,24.25054068681062,Safe,2.4651053035221766,32.22506393861893,12,10,Complete
S2278,MACECHU SECONDARY SCHOOL,TANGA,2025,3.8561,91.70506912442397,217.0,0.0,36.11264494754279,44.6958969811491,24.242562578607565,Safe,3.974363117172349,36.11264494754279,12,10,Complete
S4526,KASELA SECONDARY SCHOOL,TABORA,2025,3.6072,100.0,25.0,0.0,18.461538461538467,62.30264478833662,24.229254974962526,Safe,3.3031674208150346,18.461538461538467,9,10,Complete
S0985,MZINDAKAYA SECONDARY SCHOOL,RUKWA,2025,3.9441,81.65137614678899,109.0,0.0,46.95550351288056,33.79722957645459,24.225819926800547,Safe,3.8170609800736024,46.95550351288056,10,10,Complete
S5220,LIPAYA SECONDARY SCHOOL,RUVUMA,2025,3.6224,100.0,29.0,0.0,27.58620689655173,53.16540312656181,24.225483006934063,Safe,4.256661309384458e-15,27.58620689655173,10,10,Complete
S4077,NGUVUMOJA SECONDARY SCHOOL,TABORA,2025,3.3977,100.0,14.0,0.0,10.576923076923066,70.13578616284144,24.21381277192935,Safe,6.2222222222226735,10.576923076923066,9,9,Complete
S1747,KIBEREGE SECONDARY SCHOOL,MOROGORO,2025,4.0275,86.11111111111111,180.0,0.0,43.79928315412186,36.91213183073039,24.213424495455676,Safe,0.4235936796603199,43.79928315412186,11,10,Complete
S3340,SALAGE SECONDARY SCHOOL,SIMIYU,2025,3.968,86.20689655172413,29.0,2.9418103448300004,39.516129032258064,37.26103648520666,24.20987379317142,Safe,-0.29418103448300004,39.516129032258064,10,10,Complete
S4913,MAJELEKO SECONDARY SCHOOL,DODOMA,2025,3.668,100.0,38.0,0.0,33.33333333333334,47.36372367229623,24.20911710168887,Safe,2.776374384750112,33.33333333333334,10,10,Complete
S3410,KILINDONI SECONDARY SCHOOL,PWANI,2025,3.9455,98.06949806949807,259.0,0.0,48.23473282442748,32.45840842139513,24.207942373746782,Safe,1.1838593274937275,48.23473282442748,10,10,Complete
S2117,IGALUKILO SECONDARY SCHOOL,SIMIYU,2025,3.6152,100.0,51.0,0.0,26.381909547738687,54.27732441004233,24.197770187334307,Safe,5.662911118697939,26.381909547738687,10,10,Complete
S3602,NYANDEKWA SECONDARY SCHOOL,SHINYANGA,2025,3.8623,94.73684210526315,57.0,0.0,37.76722090261283,42.88245266000533,24.194902068785446,Safe,4.087719298245468,37.76722090261283,9,10,Complete
S5020,KORONGWE BEACH SECONDARY SCHOOL,RUKWA,2025,3.6371,99.08256880733946,109.0,0.0,21.96969696969697,58.64951820315152,24.185764551854547,Safe,3.0165055030858867,21.96969696969697,9,10,Complete
S4737,SETH BENJAMIN SECONDARY SCHOOL,SINGIDA,2025,3.5578,100.0,40.0,0.0,20.625,59.976709610295245,24.18051288308857,Safe,6.296866974833265,20.625,9,10,Complete
S1867,MIANGALUA SECONDARY SCHOOL,RUKWA,2025,3.2476,100.0,101.0,0.0,17.61229314420804,62.97535605465648,24.176294759659353,Safe,4.396334890406356,17.61229314420804,10,10,Complete
S4388,MASAWI SECONDARY SCHOOL,DODOMA,2025,3.5538,100.0,58.0,0.0,27.309236947791163,53.268043773018036,24.17318421624276,Safe,1.199999999999971,27.309236947791163,10,9,Complete
S3273,BILELE SECONDARY SCHOOL,KAGERA,2025,3.5855,95.33678756476684,193.0,13.566213092497453,26.490066225165563,35.97648796121131,24.166451492912046,Safe,-1.3566213092497454,26.490066225165563,11,10,Complete
S2862,NANENANE SECONDARY SCHOOL,MOROGORO,2025,3.8729,86.52173913043478,230.0,9.068155491879434,40.59350503919374,27.865394409753904,24.164932031436066,Safe,-0.9068155491879435,40.59350503919374,10,10,Complete
S4382,BWINA SECONDARY SCHOOL,GEITA,2025,2.9825,100.0,68.0,0.0,10.95406360424029,69.56131478207021,24.15461351589315,Safe,5.473635629399013,10.95406360424029,10,10,Complete
S6389,KALUNGA SECONDARY SCHOOL,MOROGORO,2025,3.6668,100.0,169.0,0.0,19.728434504792332,60.75561728395063,24.145215536622885,Safe,13.580246913574138,19.728434504792332,9,2,Limited trend history
