region,year,avg_gpa,total_sat,total_passed,pass_rate
KIGOMA,2024,3.5322050761421315,16707.0,15190.0,90.91997366373377
KIGOMA,2025,3.4582365740740744,19474.0,18327.0,94.11009551196467
KILIMANJARO,2016,3.900175080906149,27775.0,20435.0,73.57335733573358
KILIMANJARO,2017,3.8612442675159233,23654.0,19016.0,80.39232265156
KILIMANJARO,2018,3.7972659163987137,24962.0,20121.0,80.60652191330823
KILIMANJARO,2019,3.684573186119874,26858.0,22394.0,83.37925385360042
KILIMANJARO,2020,3.5471965189873416,26350.0,23526.0,89.28273244781784
KILIMANJARO,2021,3.5123303797468357,26639.0,24078.0,90.38627576110214
KILIMANJARO,2022,3.4286609230769236,27602.0,25369.0,91.91000652126658
KILIMANJARO,2023,3.405216516516517,26308.0,24210.0,92.02523947088338
KILIMANJARO,2024,3.2830201183431957,24740.0,23757.0,96.0266774454325
KILIMANJARO,2025,3.1991504398826978,25604.0,24856.0,97.07858147164505
KUSINI PEMBA,2016,4.304425641025641,2056.0,1428.0,69.45525291828794
KUSINI PEMBA,2017,4.333958974358975,2204.0,1485.0,67.37749546279493
KUSINI PEMBA,2018,4.191997619047619,2434.0,1705.0,70.0493015612161
KUSINI PEMBA,2019,4.169620930232558,3917.0,2814.0,71.84069440898647
KUSINI PEMBA,2020,4.277155813953488,3142.0,1859.0,59.16613621896881
KUSINI PEMBA,2021,4.148764444444445,3915.0,2452.0,62.630906768837804
KUSINI PEMBA,2022,4.035408510638297,4286.0,2776.0,64.76901539897341
KUSINI PEMBA,2023,3.9169979591836737,4047.0,3300.0,81.5418828762046
KUSINI PEMBA,2024,3.9029875,3902.0,2975.0,76.24295233213736
KUSINI PEMBA,2025,3.832865306122449,3249.0,2812.0,86.54970760233918
KUSINI UNGUJA,2016,4.353144444444444,1194.0,791.0,66.24790619765494
KUSINI UNGUJA,2017,4.361783333333333,1612.0,1080.0,66.99751861042184
KUSINI UNGUJA,2018,4.308574193548387,1519.0,1043.0,68.66359447004609
KUSINI UNGUJA,2019,4.284645454545455,2668.0,1770.0,66.34182908545728
KUSINI UNGUJA,2020,4.437162857142857,2520.0,1330.0,52.77777777777778
KUSINI UNGUJA,2021,4.248934285714286,2080.0,1463.0,70.33653846153847
KUSINI UNGUJA,2022,3.9666228571428577,2083.0,1757.0,84.34949591934709
KUSINI UNGUJA,2023,3.862988571428571,2188.0,1909.0,87.24862888482633
KUSINI UNGUJA,2024,3.791478947368421,2345.0,2146.0,91.5138592750533
KUSINI UNGUJA,2025,3.522414705882353,1836.0,1732.0,94.33551198257081
LINDI,2016,4.410196610169491,4765.0,2564.0,53.8090241343127
LINDI,2017,4.2125625,3932.0,2797.0,71.13428280773142
LINDI,2018,4.210462809917355,4850.0,3319.0,68.43298969072164
LINDI,2019,4.001877868852459,5664.0,4713.0,83.20974576271186
LINDI,2020,3.870820325203252,6123.0,5544.0,90.54385105340519
LINDI,2021,3.7858959677419355,7205.0,6639.0,92.1443442054129
LINDI,2022,3.715435772357724,7464.0,7119.0,95.37781350482315
LINDI,2023,3.6775868217054266,7830.0,7438.0,94.99361430395913
LINDI,2024,3.658672307692308,7935.0,7603.0,95.81600504095779
LINDI,2025,3.65964328358209,8944.0,8638.0,96.57871198568873
MANYARA,2016,4.017948299319729,10224.0,7409.0,72.46674491392801
MANYARA,2017,3.934140410958904,7671.0,6330.0,82.5185764567853
MANYARA,2018,3.8321199999999997,9286.0,7827.0,84.2881757484385
MANYARA,2019,3.8345920529801325,11094.0,9365.0,84.41499909861186
MANYARA,2020,3.6700267973856207,11394.0,10358.0,90.90749517289801
MANYARA,2021,3.5482483870967747,11929.0,11190.0,93.80501299354515
MANYARA,2022,3.4698546583850933,13297.0,12623.0,94.93118748589907
MANYARA,2023,3.462914814814815,13021.0,12469.0,95.76069426311344
MANYARA,2024,3.404402958579882,13265.0,12953.0,97.64794572182434
MANYARA,2025,3.3063040462427744,14196.0,13992.0,98.56297548605241
MARA,2016,4.130040837696336,14654.0,9344.0,63.76415995632592
MARA,2017,4.041658947368421,12005.0,8474.0,70.58725531028738
MARA,2018,3.973121761658031,13919.0,10257.0,73.69063869530858
MARA,2019,3.978717676767677,17803.0,13000.0,73.02140088749087
MARA,2020,3.8147989795918367,20231.0,16071.0,79.43749691068163
